Context,Class Name,Schema Type,Inheritance,Compliance Score,File Path,Priority,Domain Mapping,ORM Mapping,Complexity Assessment,Required Actions
IAM,ApiRole,Value Object,BaseValueObject[Role, RoleSaModel],100%,src/contexts/iam/core/adapters/api_schemas/value_objects/api_role.py,LOW - COMPLIANT,Role domain entity,RoleSaModel ORM,SIMPLE - Single value object,✅ NONE - Already compliant
IAM,ApiUser,Entity,BaseEntity[User, UserSaModel],100%,src/contexts/iam/core/adapters/api_schemas/root_aggregate/user.py,HIGH - SECURITY CRITICAL,User aggregate root,UserSaModel ORM,MEDIUM - Complex entity with authentication data,✅ NONE - Already compliant
Recipes Catalog,ApiClient,Entity,BaseEntity[Client, ClientSaModel],100%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/root_aggregate/api_client.py,MEDIUM,Client aggregate root,ClientSaModel ORM,MEDIUM - Entity with menu relationships,✅ NONE - Already compliant
Recipes Catalog,ApiIngredient,Value Object,BaseValueObject[Ingredient, IngredientSaModel],100%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/value_objetcs/api_ingredient.py,MEDIUM,Ingredient value object,IngredientSaModel ORM,SIMPLE - Value object with nutrition data,✅ NONE - Already compliant
Recipes Catalog,ApiMeal,Entity,BaseEntity[Meal, MealSaModel],100%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/root_aggregate/api_meal.py,HIGH - AGGREGATE ROOT,Meal aggregate root,MealSaModel ORM,COMPLEX - Aggregate with recipes and scheduling,✅ NONE - Already compliant
Recipes Catalog,ApiMenu,Entity,BaseEntity[Menu, MenuSaModel],100%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/entities/api_menu.py,MEDIUM,Menu entity within client context,MenuSaModel ORM,MEDIUM - Entity with meal collections,✅ NONE - Already compliant
Recipes Catalog,ApiMenuMeal,Value Object,BaseValueObject[MenuMeal, MenuMealSaModel],100%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/value_objects/api_menu_meal.py,MEDIUM,MenuMeal value object,MenuMealSaModel ORM,SIMPLE - Value object for menu-meal relationship,✅ NONE - Already compliant
Recipes Catalog,ApiRating,Value Object,BaseValueObject[Rating, RatingSaModel],100%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/value_objetcs/api_rating.py,LOW,Rating value object,RatingSaModel ORM,SIMPLE - Value object with numeric scores,✅ NONE - Already compliant
Recipes Catalog,ApiRecipe,Entity,BaseEntity[_Recipe, RecipeSaModel],100%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/entities/api_recipe.py,HIGH - CORE BUSINESS ENTITY,_Recipe domain entity,RecipeSaModel ORM,COMPLEX - Entity with ingredients and nutrition calculations,✅ NONE - Already compliant
Seedwork,ApiSeedRole,Value Object,BaseValueObject[SeedRole, RoleSaModel],100%,src/contexts/seedwork/shared/adapters/api_schemas/value_objects/role.py,HIGH - FOUNDATION,SeedRole domain entity,RoleSaModel ORM,SIMPLE - Foundation value object,✅ NONE - Already compliant
